id,題目,分類,學層,難度(1-5),解決什麼問題,主類別,核心概念,領域,備註,測資數
61,風獅爺排排隊,114年金門縣國中,國中,3,氣泡排序每輪輸出並計交換次數,排序,氣泡排序、排序追蹤,演算法,#68進階版,2
62,金門坑道參觀系統,114年金門縣國中,國中,3,坑道Idle/Open/Paused/End狀態機,模擬與狀態機,有限狀態機、計數統計,公共服務,#69進階版,2
63,金門粥糜採購任務,114年金門縣國中,國中,2,統計店家數量再依取貨順序輸出,清單與計數統計,計數統計、清單,生活消費,與#5相同,2
64,資訊競賽獎勵統計,114年金門縣國小,國小,1,依分數分級統計金銀銅佳作人數,條件判斷/分段,分段條件、計數統計,學校,與#57相同,2
65,台灣星鏈 (T-Starlink) 衛星佈署計畫,114年金門縣國小,國小,1,路段長/間隔/2種模式算衛星數,條件判斷/分段,整數除法、條件判斷,科技,,2
66,「一杯心情」飲料調製,114年金門縣國小,國小,2,4種原料依密度降序分層,排序,排序,生活消費,,2
67,猜數字小幫手,114年金門縣國小,國小,3,二分搜尋猜1~100並計次數,搜尋與枚舉,二分搜尋、模擬,演算法,,2
68,風獅爺排排隊,114年金門縣國小,國小,3,4個身高排序並計算交換次數,排序,氣泡排序、逆序數,演算法,,2
69,金門坑道開關管理,114年金門縣國小,國小,2,坑道開/關兩態切換並計開放次數,模擬與狀態機,有限狀態機、計數統計,公共服務,,2
70,貨物重量計費,114年新竹市國中,國中,2,貨物重量四段累進運費,條件判斷/分段,累進計費、分段條件,生活消費,,2
71,想去遊樂園,114年新竹市國中,國中,3,兩家遊樂園各自票價規則比較,條件判斷/分段,多規則計價、配對(祖孫)、條件判斷,生活娛樂,,2
72,我是神箭手,114年新竹市國中,國中,2,依風速與距離算瞄準點偏移,公式計算,整數除法、負數運算,運動,,2
73,會員入場統計,114年新竹市國中,國中,3,驗卡號檢查碼並統計最多的會員類別(可並列),字串處理,字串處理、餘數、分類計數、並列輸出,生活消費,#16進階版,2
74,買五送一,114年新竹市國中,國中,2,飲料依價排序每第6杯免費,排序,排序、模數,生活消費,,2
75,歡樂抽獎,114年新竹市國中,國中,3,紅球+0~3白球和為7倍數的最少用球數,搜尋與枚舉,子集合枚舉、條件判斷,遊戲,,2
76,考試座位安排,114年新竹市國小,國小,1,座號換算排數與位置,條件判斷/分段,整數除法、餘數,學校,,2
77,智慧氣候監測系統 —— 氣溫變動分析,114年新竹市國小,國小,1,氣溫最大值減最小值,清單與計數統計,極值搜尋,科學,,2
78,快遞物流中心分類系統,114年新竹市國小,國小,3,奇數升序在前、偶數降序在後的裝車順序,排序,分組、排序(升/降),生活消費,,2
79,寶可夢聯盟大挑戰,114年新竹市國小,國小,2,依攻防計算戰鬥力並找最強,清單與計數統計,結構化資料、條件判斷、極值搜尋,遊戲,題目文字在資料中被截斷,2
80,省電大作戰,114年新竹市國小,國小,4,冷氣開關策略使耗電最少(空檔<5小時維持開機),貪婪策略,貪婪/DP、區段分析,生活消費,,2
81,數位顯示器,114年新竹市國小,國小,4,N條LED燈組成最大的一或二位數(不重複數字),搜尋與枚舉,枚舉/窮舉、查表,科技,七段顯示器,2
82,零用錢是否足夠,114年花蓮縣國小,國小,1,依序扣4天花費判斷哪天不夠,迴圈與累加,迴圈累加、提前跳出,生活消費,,2
83,機器人戰鬥力比對,114年花蓮縣國小,國小,2,每隻機器人與其他所有比較計積分,迴圈與累加,雙層迴圈、計數統計,遊戲,,2
84,字串內的秘密數字,114年花蓮縣國小,國小,2,字串中所有數字字元相加,清單與計數統計,字串處理、字元判斷,科技,,2
85,最佳派對地點,114年花蓮縣國小,國小,3,選一人家舉辦使距離總和最小,搜尋與枚舉,枚舉/窮舉、絕對值、最小化,生活娛樂,中位數性質,2
86,公車時刻表,114年花蓮縣國中,國中,2,依發車間隔算還要等幾分鐘,公式計算,時間換算、模數,公共服務,,2
87,連續成績進步分析,114年花蓮縣國中,國中,2,最長連續進步天數,清單與計數統計,序列相鄰比較、最長連續段,學校,,2
88,卡住的鍵盤,114年花蓮縣國中,國中,2,字串中連續出現最多次的字母,清單與計數統計,字串處理、最長連續段,科技,,2
89,外送員的接單策略,114年花蓮縣國中,國中,4,不衝突區間最多接幾單,貪婪策略,區間排程貪婪、排序,生活消費,依結束時間排序,2
90,小島越野賽(國小),114年屏東中小學,國小,5,地形格子5種移動方式的最少秒數,動態規劃,動態規劃/最短路徑、多條件,遊戲,,2
91,基地台訊號覆蓋(國中),114年屏東中小學,國中,4,N×N網格基地台訊號衰減覆蓋統計,,二維網格、曼哈頓距離、極值,科技,,2
92,考試獎勵,114年度全國賽個人賽國中組題目,國中,3,多週成績點數兌換娃娃模擬,模擬與狀態機,模擬、多層迴圈、資格判斷,學校,,2
93,簽唱會門票,114年度全國賽個人賽國中組題目,國中,4,依積分高低分群邀請、不超過人數上限、依報名序輸出,貪婪策略,排序、分群、累計限制,生活娛樂,,3
94,闖關遊戲,114年度全國賽個人賽國中組題目,國中,3,12房間依螢幕正負數移動、離開後正負翻轉,模擬與狀態機,模擬、環狀/模數、狀態翻轉,遊戲,起始設定表在資料中缺漏,3
95,火星探測車,114年度全國賽個人賽國中組題目,國中,5,電力100內選任務使科學價值最高,動態規劃,0/1背包(DP)、子集合枚舉,科學,,0
96,熱浪區間,114年度全國賽個人賽國中組題目,國中,5,門檻以上的最長遞增子序列及最早起始,動態規劃,最長遞增子序列(LIS)、DP,科學,,2
97,訊息傳遞,114年度全國賽個人賽國小組題目,國小,,(內容為圖片，資料缺),,,,缺題目/範例/測資,0
98,神奇表格,114年度全國賽個人賽國小組題目,國小,,(內容為圖片，資料缺),,,,缺題目/範例/測資,0
99,動物樂園,114年度全國賽個人賽國小組題目,國小,,(內容為圖片，資料缺),,,,缺題目/範例/測資,0
100,冰晶王國冬季仙境圖案,114年度全國賽個人賽國小組題目,國小,,(內容為圖片，資料缺),,,,缺題目/範例/測資,0
101,澆花問題,114年度全國賽個人賽國小組題目,國小,,(內容為圖片，資料缺),,,,缺題目/範例/測資,0
102,運動會,114年度全國賽個人賽國小組題目,國小,3,連續班級切成兩群使人數最接近,搜尋與枚舉,前綴和、枚舉分割點、最小化,學校,,2
